ID,Value,UnitParameter_ID,UnitValue,Comment,Source
0-1,0,weak.reportative,cannot,,
0-2,0,weak.deontic,cannot,,
0-3,0,weak.circumstantial,cannot,,
0-4,0,strong.reportative,cannot,,
0-5,0,strong.deontic,cannot,,
0-6,0,strong.circumstantial,cannot,,
0-7,0,weak.epistemic,can,,
0-8,0,strong.epistemic,can,,
1-1,1,weak.deontic,cannot,,
1-2,1,weak.circumstantial,cannot,,
1-3,1,strong.deontic,cannot,,
1-4,1,strong.circumstantial,cannot,,
1-5,1,weak.epistemic,can,,
1-6,1,weak.reportative,can,,
1-7,1,strong.epistemic,can,,
1-8,1,strong.reportative,can,,
